state,year,act participation,act english,act math,act reading,act science,act composite,sat participation,sat read & write,sat math,sat total
New Jersey,2018,0.31,,,,,23.7,0.82,547,547,1094
New Mexico,2018,0.67,,,,,19.4,0.16,552,540,1093
New York,2018,0.27,,,,,24.5,0.79,534,534,1068
North Carolina,2018,1.0,,,,,19.1,0.52,554,543,1098
North Dakota,2018,0.98,,,,,20.3,0.02,640,643,1283
Ohio,2018,1.0,,,,,20.3,0.18,552,547,1099
Oklahoma,2018,1.0,,,,,19.3,0.08,541,521,1062
Oregon,2018,0.42,,,,,21.3,0.48,564,553,1117
Pennsylvania,2018,0.2,,,,,23.5,0.7,547,539,1086
Rhode Island,2018,0.15,,,,,24.2,0.97,513,505,1018
South Carolina,2018,1.0,,,,,18.3,0.55,547,523,1070
South Dakota,2018,0.77,,,,,21.9,0.03,622,618,1240
Tennessee,2018,1.0,,,,,19.6,0.06,624,607,1231
Texas,2018,0.45,,,,,20.7,0.66,520,512,1032
Utah,2018,1.0,,,,,20.4,0.04,480,530,1010
Vermont,2018,0.24,,,,,24.1,0.64,565,554,1120
Virginia,2018,0.24,,,,,23.9,0.68,567,550,1117
Washington,2018,0.24,,,,,22.2,0.69,543,538,1081
West Virginia,2018,0.65,,,,,20.3,0.28,513,486,999
Wisconsin,2018,1.0,,,,,20.5,0.03,641,653,1294
Wyoming,2018,1.0,,,,,20.0,0.03,633,625,1257
Alabama,2019,1.0,,,,,18.9,0.07,583,560,1143
Alaska,2019,0.38,,,,,20.1,0.41,556,541,1097
Arizona,2019,0.73,,,,,19.0,0.31,569,565,1134
Arkansas,2019,1.0,,,,,19.3,0.06,582,559,1141
California,2019,0.23,,,,,22.6,0.63,534,531,1065
Colorado,2019,0.27,,,,,23.8,1.0,518,506,1024
Connecticut,2019,0.22,,,,,25.5,1.0,529,516,1046
Delaware,2019,0.13,,,,,24.1,1.0,499,486,985
District of Columbia,2019,0.32,,,,,23.5,0.94,495,480,975
Florida,2019,0.54,,,,,20.1,1.0,516,483,999
Georgia,2019,0.49,,,,,21.4,0.71,538,519,1058
Hawaii,2019,0.8,,,,,19.0,0.54,550,550,1100
Idaho,2019,0.31,,,,,22.5,1.0,505,488,993
Illinois,2019,0.35,,,,,24.3,1.0,509,504,1013
Indiana,2019,0.29,,,,,22.5,0.66,543,537,1080
Iowa,2019,0.66,,,,,21.6,0.03,622,622,1244
Kansas,2019,0.72,,,,,21.2,0.04,618,623,1241
Kentucky,2019,1.0,,,,,19.8,0.04,620,612,1232
Louisiana,2019,1.0,,,,,18.8,0.05,610,591,1200
Maine,2019,0.06,,,,,24.3,0.99,512,502,1013
Maryland,2019,0.28,,,,,22.3,0.82,535,523,1058
Massachusetts,2019,0.21,,,,,25.5,0.81,559,561,1120
Michigan,2019,0.19,,,,,24.4,1.0,507,496,1003
Minnesota,2019,0.95,,,,,21.4,0.04,636,648,1284
Mississippi,2019,1.0,,,,,18.4,0.03,628,608,1237
Missouri,2019,0.82,,,,,20.8,0.04,622,615,1236
Montana,2019,1.0,,,,,19.8,0.09,603,596,1199
Nebraska,2019,1.0,,,,,20.0,0.03,628,631,1260
Nevada,2019,1.0,,,,,17.9,0.2,580,576,1156
New Hampshire,2019,0.14,,,,,25.0,0.95,533,526,1059
New Jersey,2019,0.25,,,,,24.2,0.82,544,545,1090
New Mexico,2019,0.63,,,,,19.3,0.18,543,530,1073
New York,2019,0.22,,,,,24.5,0.79,531,533,1064
North Carolina,2019,1.0,,,,,19.0,0.51,554,546,1100
North Dakota,2019,0.96,,,,,19.9,0.02,627,636,1263
Ohio,2019,1.0,,,,,20.0,0.19,550,548,1097
Oklahoma,2019,1.0,,,,,18.9,0.22,490,472,963
Oregon,2019,0.42,,,,,21.1,0.51,562,550,1112
Pennsylvania,2019,0.17,,,,,23.6,0.7,545,537,1082
Rhode Island,2019,0.12,,,,,24.7,1.0,503,492,995
South Carolina,2019,0.78,,,,,18.8,0.68,526,504,1030
South Dakota,2019,0.75,,,,,21.6,0.03,633,635,1268
Tennessee,2019,1.0,,,,,19.4,0.07,618,602,1220
Texas,2019,0.39,,,,,20.5,0.68,515,507,1022
Utah,2019,1.0,,,,,20.3,0.04,614,615,1230
Vermont,2019,0.2,,,,,24.1,0.66,560,546,1106
Virginia,2019,0.21,,,,,24.0,0.68,567,551,1119
Washington,2019,0.24,,,,,22.1,0.7,539,535,1074
West Virginia,2019,0.49,,,,,20.8,0.99,483,460,943
Wisconsin,2019,1.0,,,,,20.3,0.03,635,648,1283
Wyoming,2019,1.0,,,,,19.8,0.03,623,615,1238
